# Generated by generate-license-hashes.py from OE-core common-licenses
# Format: exact_md5,crunched_md5,spdx_id
f667a3c3830a55a17ec3067709f4526c,13b6fe3075f8f42f2270a748965bf3a1,0BSD
3698933bc48f8aa60375d4423f07610f,442cfb32d1bee3d4b1a4c3f4a90ee5b3,3D-Slicer-1.0
a06b3606273d78257b0e374217de1087,c9c300a27d86ece34c325312a3207327,AAL
7ddd727dfd24eb311bcc7f5fd1f8ff67,c573316c00b0a8233833424212b8209d,ADSL
8fda9a719e1497545e396d0b5d92eaef,d6b15630ef6c74e6600708465caf96ab,AFL-1.1
0cce6826431e2f999d7f42258d77511d,3d476f17938cc1b98d230d658b17bfd9,AFL-1.2
f01c02e5eac69cff6b8c2cc474b8d468,f752f99c728213244905e05139a5c3ef,AFL-2.0
e40039b90e182a056bcd9ad3e47ddd71,f470c050800f67eda6525fa31c8e5eb7,AFL-2.1
12a46e25465f5b0543e1de5823ba3bb3,6b32bf21abe8f4dc5d2ec32eba53ab85,AFL-3.0
06bcb8ed1dec352d24e92f6f39cd138f,20b0783ec6de4d938539b3e690d34b4d,AGPL-1.0-only
06bcb8ed1dec352d24e92f6f39cd138f,20b0783ec6de4d938539b3e690d34b4d,AGPL-1.0-or-later
73f1eb20517c55bf9493b7dd6e480788,087e34aa359b50c351f034bc42c14b65,AGPL-3.0-only
a4af3f9f0c0fc9de318e4df46665906e,72a1ba88792cb5de00eb1ded96d0f719,AGPL-3.0-or-later
468af53ba3709485581b835c3144bc47,0f1886fe73f0ba0067694a53e5d7cc92,AMD-newlib
91501a731d1de5dba677333b7ab0ced7,e2636a60d7b2f3961dee2725fa045ccb,AMDPLPA
88dfbf7b73c924dc62b8ae9c3bb0337b,5b6d9776cc1fde82c89012b54124966d,AML
cc1e6525c4033c9f1302a825b390415c,da070a37ba943476fcdb2928220b4ccf,AML-glslang
6c766ae145b1f282b87773c4fa1ecfd5,88143b11b08d721b374ffde1cccc078b,AMPAS
8f131eff08616d0a4bd642e2707aab2d,e02bb3412434ee5aa720bb022bca0826,ANTLR-PD
90cddeecef52748c37563b99d2ef1fc4,00a71d509597eaae8956312756884e88,ANTLR-PD-fallback
7a08c1d5cc0f8a43d4a02d65fab6e22e,8fde6af5dffce8e93f9e13dfa35c07a8,APAFML
a85284103c73764f1dc551531a50dba5,5c99ea1be80d62f1f716bcc599f4b2c4,APL-1.0
c503584d3ffbdc4e2ae2351c20e95783,9228467d1f3ebad0f267693b90c88de3,APSL-1.0
316c504405600d20049616655cb331e4,1af05c27d7191f77c012328b4c3577db,APSL-1.1
9cf3c6d8e5e6cbe7cdef8bc218adfc8d,889e42519a82dd4440b7fa618d463a3e,APSL-1.2
f9e4701d9a216a87ba145bbe25f54c58,6ad0886a2db2940c1e0600a8582db657,APSL-2.0
6f51fe8f98ea9fd9ca27dc9646b80079,668f87fb794f46399557d3bc52cc1324,ASWF-Digital-Assets-1.0
e6101f537c7f36fbd9130d2fdbb932b6,1d38133f222d978a95001af2a5d5ade3,ASWF-Digital-Assets-1.1
be2715bfed742616b09ed26eddad5ad2,926816b3495b941df924ede8b1231d3a,Abstyles
b9de10f35b08470f4a70a99db62e6f4c,b79bedcc5eb26871363e84e73bd3e2aa,AdaCore-doc
abedf927be332ceb1e491cfba353d6e8,608d2fc9fa1ea5401f88a26e11ea4472,Adobe
8bd7e96fbef6cf386505b6dfba6586a2,656ab718401e0489e0fee4911068dad5,Adobe-2006
6a85ad861dee598c6a282125ff5236cd,001ae2e2cac7cc867866bfc4e561d3a1,Adobe-Display-PostScript
b8fb22ace48b0b589b0cc6c70e50f73c,77fcb64f46a6f7a45b898c5efc85aab3,Adobe-Glyph
c0cb39e855b6ddbff398561eef7d734c,b1eeb24930e43ac70213510449184773,Adobe-Utopia
cb0f956653d716234754e8487eee962a,d41939df2a25169b87821b613d63e2b5,Afmparse
f0549e909c5da7d62703007d82e606cf,4f47ab42ed793ef2b2a667248d462476,Aladdin
9f7a9503b805de9158a2a31a2cef4b70,0a2e95ebd32041781ae902e3da91080a,Apache-1.0
61cc638ff95ff4f38f243855bcec4317,c6a371ecc71c570929382dbddd7d3d9e,Apache-1.1
89aea4e17d99a7cacdbeed46a0096b10,89f3bf322f30a1dcfe952e09945842f0,Apache-2.0
0bcd48c3bdfef0c9d9fd17726e4b7dab,9d5d19f6c0926f4aefdf2f645e9976a7,Apache-2.0-with-LLVM-exception
6db49dfe0dcbe847a47d32e6b571e8bf,bef8ae27d57c1fca2fc234cfc5758e88,App-s2p
4555ed88e9a72fc9562af379d07c3350,97b8ea9bea5944640fabf3cfc94bc98b,Arphic-1999
cda03bbdc3c1951996392b872397b798,c64a104a9b87e9bda1ac605124d8fd27,Artistic-1.0
8feedd169dbd5738981843bd7d931f9f,6b04b99f7f949b489a09d7e923bbec13,Artistic-1.0-Perl
dea3f591dd4e2a7a6c00644c29d38755,a2cc8d65421a92bf8ec2ae1b4c8581c4,Artistic-1.0-cl8
8bbc66f0ba93cec26ef526117e280266,a06e61dbbd1e9be362a02a8e98742a5c,Artistic-2.0
1a6692cac860780d6ac0fca918330143,7cfc26f87f5c94c55f3daa3e9c047dfe,Artistic-dist
25d99a06ae6066ed25d7ff7010888263,51273e49a54e521d55c2c710f314bbda,Aspell-RU
fb195e1b4b5cc0cb2c17c5a4fd793cd8,27e3e0c9e340a731a5a136eb98c1dddd,BSD-1-Clause
cb641bc04cda31daea161b1bc15da69f,ba87a7d7c20719c8df4b8beed9b78c43,BSD-2-Clause
0251eaec1188b20d9a72c502ecfdda1b,b22e39c77fe5f523c207bbd4c6ac8244,BSD-2-Clause-Darwin
0518d409dae93098cca8dfa932f3ab1b,5f21c51c5e5a4ee1dfa3c1e30c9ace60,BSD-2-Clause-Patent
adacc2c4dd508d9986cfd9465317cd6a,7dbf7466b669a3cac52b2ae47e232154,BSD-2-Clause-Views
ee56eac379fa8663a8bc9909ef28499e,572aaa1eabcd2cfe95edb67f2410a411,BSD-2-Clause-first-lines
32bb6b156d73f9be5f454418ec07363e,9e6061ad558b7c47f533fa731db55846,BSD-2-Clause-pkgconf-disclaimer
550794465ba0ec5312d6919e203a55f9,7f8892c03b72de419c27be4ebfa253f8,BSD-3-Clause
93f8b671a4e8b1d10e37898c4662e2e2,699e0c4173414eeaeb8ca866a4ad6402,BSD-3-Clause-Attribution
7a434440b651f4a472ca93716d01033a,6966e6f4f411d8927f81efb6cd9c26cd,BSD-3-Clause-Clear
51af8a7a67d3863596e975fa408587db,7f46b52863be460cdfbc4b0c9484336a,BSD-3-Clause-HP
a3ab534f25ad82cb6dcfb470a9b2bca0,610d7e67e6c32f3ee3a0fbdc344cd149,BSD-3-Clause-LBNL
27b46022df7bdef61a1e404fc3573f83,494097023f05889154d6e51c80c88c3b,BSD-3-Clause-Modification
c8a6a9be92f163b6c1ed17d533daa86e,e35f81460717b97b13d587b2ae739b6f,BSD-3-Clause-No-Military-License
17c115db2c7fcf47125deff9367911fb,5a7d71268a704586cdaba930d63656c8,BSD-3-Clause-No-Nuclear-License
c2a08f01e6d3a42b0942bc5a5a32a3e5,927a10df3d49909a3d126227867a692e,BSD-3-Clause-No-Nuclear-License-2014
03cfa4f20a1ba9d1744c8c970c64e41e,036fd615ca5e4e2c5d4de2ea776fc611,BSD-3-Clause-No-Nuclear-Warranty
78a514775377e847ce6058f458fb5972,695c29f1a5a46f0eb213474c9778e1a3,BSD-3-Clause-Open-MPI
391601a93410f811eeb3d3428fca68d3,8e1c91e0ac446deee276790cd55855e3,BSD-3-Clause-Sun
d4085d7a29799bd0c871e38b5f7a4823,dd2672f3c8d7581c2b50a0083eb9cf6a,BSD-3-Clause-acpica
e4742cf92e89040b39486a6219b68067,7481f4985288f83cc75f8ec8c85b7942,BSD-3-Clause-flex
624d9e67e8ac41a78f6b6c2c55a83a2b,b40062fa7ebfe5e3423b7c6d8d021d11,BSD-4-Clause
d56cfe8f3043d810b4ea9efec2d443d4,e6f8d6746039278e08972daceeddb30a,BSD-4-Clause-Shortened
1da3cf8ad50cd8d5d1de3cfc53196d01,d0644ee4c26725c165f2280b554ec238,BSD-4-Clause-UC
5186e0001e0e10a46405a3774e3aec28,c5eac023974078f8c0437c4748a20fc6,BSD-4.3RENO
75f4d72f502ee3b38a52784426b2c3ad,adca8c6be8fd4c06aa0db0fb713fc96c,BSD-4.3TAHOE
6dab7dd78a472fa382d2faf9f040b24a,dac2a15e5631080d42c88c65ed83e5be,BSD-Advertising-Acknowledgement
5dbe4f55844da27a6267da77a0fed10d,eb6612d34ce8109a38ad38fb829f9c70,BSD-Attribution-HPND-disclaimer
bb6146f667105a7f0480f47c7c6b62e8,876c3b8e8acba55c01ffd89186cf24e8,BSD-Inferno-Nettverk
1fba3066d8be1a052125a4991003470b,bdbf75e1a7550f064e48db2b473c0942,BSD-Protection
fe8b41221d7524c70688f7d059ff6d87,f2e8ba1e3c97bf8af7af0941c9ae117d,BSD-Source-Code
b02d94a02374c33001e79575d3e4d054,08cd21554ca6d5e4077c3f63da4ad17b,BSD-Source-beginning-file
bcd3361e18f1583954dc382b9a600e17,ce34ba25be84758a601cd5d59ef98193,BSD-Systemics
